,host_id,price,room_type,bedrooms,beds,bathrooms,bed_type
1,3159,59,Private room,1.0,2.0,1.0,Real Bed
2,3718,95,Entire home/apt,1.0,1.0,1.0,Real Bed
3,4716,100,Entire home/apt,1.0,1.0,1.0,Real Bed
4,5271,250,Entire home/apt,2.0,2.0,1.0,Real Bed
5,5271,140,Private room,1.0,1.0,1.0,Real Bed
6,5271,115,Private room,1.0,1.0,1.0,Futon
7,5988,80,Private room,1.0,1.0,1.0,Real Bed
8,9616,80,Private room,1.0,1.0,1.0,Real Bed
9,14589,90,Entire home/apt,1.0,1.0,1.0,Real Bed
10,15618,100,Entire home/apt,2.0,2.0,1.5,Real Bed
11,21669,95,Entire home/apt,2.0,2.0,1.0,Real Bed
12,26919,145,Entire home/apt,1.0,1.0,1.0,Real Bed
13,32366,132,Entire home/apt,1.0,1.0,1.5,Real Bed
14,36701,79,Entire home/apt,1.0,1.0,1.0,Real Bed
15,42212,180,Entire home/apt,0.0,2.0,1.0,Real Bed
16,42212,75,Shared room,1.0,1.0,1.0,Real Bed
17,42725,82,Private room,1.0,2.0,1.0,Real Bed
18,46431,59,Private room,1.0,1.0,1.0,Real Bed
19,47517,99,Entire home/apt,1.0,1.0,1.0,Real Bed
20,50517,190,Entire home/apt,1.0,2.0,1.0,Real Bed
21,56142,110,Entire home/apt,1.0,2.0,1.0,Real Bed
22,14589,90,Entire home/apt,1.0,1.0,1.0,Real Bed
23,56142,100,Entire home/apt,1.0,1.0,1.0,Real Bed
24,59059,35,Private room,1.0,2.0,1.5,Real Bed
25,59297,43,Private room,1.0,2.0,,Real Bed
26,59484,50,Private room,1.0,1.0,1.0,Real Bed
27,59484,50,Private room,1.0,1.0,4.0,Real Bed
28,62341,69,Entire home/apt,1.0,1.0,1.0,Real Bed
29,65041,80,Entire home/apt,1.0,2.0,1.0,Real Bed
30,65041,80,Entire home/apt,1.0,4.0,1.5,Real Bed
31,69651,110,Private room,1.0,1.0,1.0,Real Bed
32,69651,350,Entire home/apt,1.0,1.0,2.0,Real Bed
33,70937,110,Entire home/apt,1.0,2.0,1.0,Real Bed
34,74250,74,Private room,1.0,1.0,1.0,Real Bed
35,77484,250,Entire home/apt,2.0,5.0,1.0,Real Bed
36,77484,200,Entire home/apt,4.0,6.0,1.5,Real Bed
37,77484,180,Entire home/apt,2.0,3.0,1.0,Real Bed
38,77484,200,Entire home/apt,2.0,4.0,1.0,Real Bed
39,77484,160,Entire home/apt,2.0,3.0,2.0,Real Bed
40,77484,200,Entire home/apt,2.0,3.0,2.0,Real Bed
41,77484,160,Entire home/apt,2.0,5.0,1.5,Real Bed
42,77484,120,Entire home/apt,2.0,3.0,1.0,Real Bed
43,77484,120,Entire home/apt,2.0,2.0,1.5,Real Bed
44,77484,120,Entire home/apt,1.0,2.0,1.0,Real Bed
45,77484,100,Entire home/apt,1.0,2.0,1.0,Real Bed
46,77484,75,Entire home/apt,1.0,2.0,1.0,Real Bed
47,77484,140,Entire home/apt,1.0,4.0,1.0,Real Bed
48,77484,160,Entire home/apt,1.0,1.0,1.0,Real Bed
49,77484,120,Entire home/apt,1.0,2.0,1.0,Real Bed
50,78857,80,Entire home/apt,1.0,2.0,1.0,Real Bed
51,82145,206,Entire home/apt,5.0,6.0,2.0,Real Bed
52,82145,140,Entire home/apt,2.0,3.0,1.0,Real Bed
53,82145,200,Entire home/apt,2.0,2.0,1.0,Real Bed
54,82145,227,Entire home/apt,2.0,3.0,2.0,Real Bed
55,82145,140,Entire home/apt,2.0,2.0,1.0,Real Bed
56,82145,200,Entire home/apt,1.0,2.0,1.0,Real Bed
57,97647,135,Entire home/apt,1.0,1.0,1.0,Real Bed
58,98829,90,Entire home/apt,1.0,1.0,1.0,Real Bed
59,98844,95,Entire home/apt,1.0,1.0,1.5,Real Bed
60,101455,179,Entire home/apt,2.0,4.0,1.0,Real Bed
61,106225,120,Entire home/apt,3.0,3.0,1.0,Real Bed
